# format org.openvanilla.mcbopomofo.sorted
一-ㄧˋ-國-ㄍㄨㄛˊ-兩-ㄌㄧㄤˇ-制-ㄓˋ -4.6098
一-ㄧˋ-堆-ㄉㄨㄟ -4.4555
一-ㄧˋ-天-ㄊㄧㄢ -4.0476
一-ㄧˋ-天-ㄊㄧㄢ-到-ㄉㄠˋ-晚-ㄨㄢˇ -4.4763
一-ㄧˋ-家-ㄐㄧㄚ -4.2101
一-ㄧˋ-家-ㄐㄧㄚ-人-ㄖㄣˊ -4.6262
一-ㄧˋ-年-ㄋㄧㄢˊ -3.7634
一-ㄧˋ-年-ㄋㄧㄢˊ-一-ㄧˊ-度-ㄉㄨˋ -4.4395
一-ㄧˋ-年-ㄋㄧㄢˊ-級-ㄐㄧˊ -4.5122
一-ㄧˋ-張-ㄓㄤ -4.2941
一-ㄧˋ-方-ㄈㄤ -4.0089
一-ㄧˋ-方-ㄈㄤ-面-ㄇㄧㄢˋ -3.6380
一-ㄧˋ-時-ㄕˊ -4.2129
一-ㄧˋ-時-ㄕˊ-間-ㄐㄧㄢ -4.5360
一-ㄧˋ-會-ㄏㄨㄟˇ -4.5929
一-ㄧˋ-會-ㄏㄨㄟˇ-兒-ㄦ -4.3860
一-ㄧˋ-會-ㄏㄨㄟˇ-兒-ㄦˊ -4.3860
一-ㄧˋ-本-ㄅㄣˇ -4.3593
一-ㄧˋ-條-ㄊㄧㄠˊ -4.3533
一-ㄧˋ-模-ㄇㄛˊ-一-ㄧˊ-樣-ㄧㄤˋ -4.4280
一-ㄧˋ-模-ㄇㄨˊ-一-ㄧˊ-樣-ㄧㄤˋ -4.4280
一-ㄧˋ-氧-ㄧㄤˇ-化-ㄏㄨㄚˋ-碳-ㄊㄢˋ-中-ㄓㄨㄥˋ-毒-ㄉㄨˊ -4.2999
一-ㄧˋ-生-ㄕㄥ -4.3435
一-ㄧˋ-發-ㄈㄚ-不-ㄅㄨˋ-可-ㄎㄜˇ-收-ㄕㄡ-拾-ㄕˊ -4.0147
一-ㄧˋ-百-ㄅㄞˇ -3.6967
一-ㄧˋ-百-ㄅㄞˇ-萬-ㄨㄢˋ -4.3899
一-ㄧˋ-直-ㄓˊ -3.5337
一-ㄧˋ-直-ㄓˊ-在-ㄗㄞˋ -4.3370
一-ㄧˋ-直-ㄓˊ-都-ㄉㄡ -4.4369
一-ㄧˋ-種-ㄓㄨㄥˇ -3.6814
一-ㄧˋ-篇-ㄆㄧㄢ -4.4149
一-ㄧˋ-群-ㄑㄩㄣˊ -4.4489
一-ㄧˋ-般-ㄅㄢ -3.4971
一-ㄧˋ-般-ㄅㄢ-人-ㄖㄣˊ -3.9835
一-ㄧˋ-般-ㄅㄢ-來-ㄌㄞˊ-說-ㄕㄨㄛ -4.5094
一-ㄧˋ-般-ㄅㄢ-而-ㄦˊ-言-ㄧㄢˊ -4.5845
一-ㄧˋ-起-ㄑㄧˇ -3.5957
一-ㄧˋ-起-ㄑㄧˇ-來-ㄌㄞˊ -4.1604
一-ㄧˋ-連-ㄌㄧㄢˊ -4.4580
一-ㄧˋ-連-ㄌㄧㄢˊ-串-ㄔㄨㄢˋ -4.2023
一-ㄧˋ-邊-ㄅㄧㄢ -4.1993
一-ㄧˋ-開-ㄎㄞ -4.3728
一-ㄧˋ-開-ㄎㄞ-始-ㄕˇ -4.0014
一-ㄧˋ-隻-ㄓ -4.4264
一-ㄧˋ-點-ㄉㄧㄢˇ -3.5190
一-ㄧˋ-點-ㄉㄧㄢˇ-也-ㄧㄝˇ-不-ㄅㄨˊ -4.4575
一-ㄧˋ-點-ㄉㄧㄢˇ-也-ㄧㄝˇ-不-ㄅㄨˋ -4.4575
一-ㄧˋ-點-ㄉㄧㄢˇ-兒-ㄦ -4.5940
一-ㄧˋ-點-ㄉㄧㄢˇ-兒-ㄦˊ -4.5940
一-ㄧˋ-點-ㄉㄧㄢˇ-點-ㄉㄧㄢˇ -4.2733
丁-ㄉㄧㄥ-丁-ㄉㄧㄥ -6.2173
丁-ㄉㄧㄥ-丁-ㄉㄧㄥ-冬-ㄉㄨㄥ-冬-ㄉㄨㄥ -6.3088
丁-ㄉㄧㄥ-上-ㄕㄤˋ -7.4725
丁-ㄉㄧㄥ-下-ㄒㄧㄚˋ -7.4725
丁-ㄉㄧㄥ-丑-ㄔㄡˇ -6.8705
丁-ㄉㄧㄥ-二-ㄦˋ-烯-ㄒㄧ -7.0412
丁-ㄉㄧㄥ-基-ㄐㄧ-橡-ㄒㄧㄤˋ-膠-ㄐㄧㄠ -6.6098
丁-ㄉㄧㄥ-字-ㄗˋ -6.2173
丁-ㄉㄧㄥ-字-ㄗˋ-尺-ㄔˇ -7.0412
丁-ㄉㄧㄥ-字-ㄗˋ-形-ㄒㄧㄥˊ -7.0412
丁-ㄉㄧㄥ-字-ㄗˋ-褲-ㄎㄨˋ -6.0412
丁-ㄉㄧㄥ-字-ㄗˋ-鎬-ㄏㄠˋ -7.0412
丁-ㄉㄧㄥ-學-ㄒㄩㄝˊ-忠-ㄓㄨㄥ -7.0412
丁-ㄉㄧㄥ-守-ㄕㄡˇ-中-ㄓㄨㄥ -5.2488
丁-ㄉㄧㄥ-憂-ㄧㄡ -7.1715
丁-ㄉㄧㄥ-母-ㄇㄨˇ-憂-ㄧㄡ -7.0412
丁-ㄉㄧㄥ-烯-ㄒㄧ -7.1715
丁-ㄉㄧㄥ-烷-ㄨㄢˊ -6.8705
丁-ㄉㄧㄥ-班-ㄅㄢ -6.5694
丁-ㄉㄧㄥ-男-ㄋㄢˊ -7.4725
丁-ㄉㄧㄥ-當-ㄉㄤ -6.6944
丁-ㄉㄧㄥ-種-ㄓㄨㄥˇ -7.4725
丁-ㄉㄧㄥ-等-ㄉㄥˇ -6.3264
丁-ㄉㄧㄥ-級-ㄐㄧˊ -7.1715
丁-ㄉㄧㄥ-肇-ㄓㄠˋ-中-ㄓㄨㄥ -5.8950
丁-ㄉㄧㄥ-艱-ㄐㄧㄢ -7.4725
丁-ㄉㄧㄥ-苡-ㄧˇ-柔-ㄖㄡˊ -7.0412
丁-ㄉㄧㄥ-苯-ㄅㄣˇ-橡-ㄒㄧㄤˋ-膠-ㄐㄧㄠ -6.6098
丁-ㄉㄧㄥ-酸-ㄙㄨㄢ -7.4725
丁-ㄉㄧㄥ-醇-ㄔㄨㄣˊ -7.4725
丁-ㄉㄧㄥ-項-ㄒㄧㄤˋ -7.4725
丁-ㄉㄧㄥ-香-ㄒㄧㄤ -5.6944
丁-ㄉㄧㄥ-香-ㄒㄧㄤ-樹-ㄕㄨˋ -6.2630
丁-ㄉㄧㄥ-香-ㄒㄧㄤ-油-ㄧㄡˊ -7.0412
丁-ㄉㄧㄥ-香-ㄒㄧㄤ-花-ㄏㄨㄚ -7.0412
丁-ㄉㄧㄥ-香-ㄒㄧㄤ-魚-ㄩˊ -5.8950
七-ㄑㄧ-一-ㄧ -5.2524
七-ㄑㄧ-七-ㄑㄧ -5.1421
七-ㄑㄧ-上-ㄕㄤˋ-八-ㄅㄚ-下-ㄒㄧㄚˋ -5.4057
七-ㄑㄧ-人-ㄖㄣˊ -5.4311
七-ㄑㄧ-位-ㄨㄟˋ -5.5280
七-ㄑㄧ-個-ㄍㄜ˙ -4.9186
七-ㄑㄧ-個-ㄍㄜ˙-人-ㄖㄣˊ -5.6987
七-ㄑㄧ-億-ㄧˋ -5.1938
七-ㄑㄧ-六-ㄌㄧㄡˋ-人-ㄖㄣˊ -5.6987
七-ㄑㄧ-六-ㄌㄧㄡˋ-人-ㄖㄣˊ-隊-ㄉㄨㄟˋ -5.5306
七-ㄑㄧ-分-ㄈㄣ -5.5483
七-ㄑㄧ-分-ㄈㄣ-之-ㄓ-一-ㄧ -5.7067
七-ㄑㄧ-分-ㄈㄣ-鐘-ㄓㄨㄥ -5.4849
七-ㄑㄧ-十-ㄕˊ -3.8729
七-ㄑㄧ-十-ㄕˊ-三-ㄙㄢ -4.6363
七-ㄑㄧ-十-ㄕˊ-五-ㄨˇ -4.4591
七-ㄑㄧ-十-ㄕˊ-八-ㄅㄚ -4.5360
七-ㄑㄧ-十-ㄕˊ-六-ㄌㄧㄡˋ -4.6003
七-ㄑㄧ-十-ㄕˊ-年-ㄋㄧㄢˊ -4.6610
七-ㄑㄧ-十-ㄕˊ-幾-ㄐㄧˇ -5.4849
七-ㄑㄧ-千-ㄑㄧㄢ -4.7913
七-ㄑㄧ-千-ㄑㄧㄢ-人-ㄖㄣˊ -5.7401
七-ㄑㄧ-千-ㄑㄧㄢ-多-ㄉㄨㄛ -5.0967
七-ㄑㄧ-名-ㄇㄧㄥˊ -5.6530
七-ㄑㄧ-嘴-ㄗㄨㄟˇ-八-ㄅㄚ-舌-ㄕㄜˊ -5.1047
七-ㄑㄧ-四-ㄙˋ-七-ㄑㄧ -5.4614
七-ㄑㄧ-夕-ㄒㄧˋ -5.7091
七-ㄑㄧ-夜-ㄧㄝˋ-怪-ㄍㄨㄞˋ-談-ㄊㄢˊ -5.8317
七-ㄑㄧ-天-ㄊㄧㄢ -5.4006
七-ㄑㄧ-家-ㄐㄧㄚ-灣-ㄨㄢ-溪-ㄒㄧ -4.8938
七-ㄑㄧ-年-ㄋㄧㄢˊ -4.2833
七-ㄑㄧ-年-ㄋㄧㄢˊ-級-ㄐㄧˊ -5.7401
七-ㄑㄧ-度-ㄉㄨˋ -5.7243
七-ㄑㄧ-彩-ㄘㄞˇ -5.7913
七-ㄑㄧ-情-ㄑㄧㄥˊ-六-ㄌㄧㄡˋ-慾-ㄩˋ -5.5306
七-ㄑㄧ-成-ㄔㄥˊ -4.9728
七-ㄑㄧ-手-ㄕㄡˇ-八-ㄅㄚ-腳-ㄐㄧㄠˇ -5.6098
七-ㄑㄧ-折-ㄓㄜˊ-八-ㄅㄚ-扣-ㄎㄡˋ -5.6098
七-ㄑㄧ-日-ㄖˋ -4.4813
七-ㄑㄧ-星-ㄒㄧㄥ -5.6152
七-ㄑㄧ-星-ㄒㄧㄥ-山-ㄕㄢ -5.5097
